threshold,known_accept_rate,known_top1_accuracy_after_threshold,false_reject_rate,unknown_reject_rate,false_accept_rate
0.200000,0.9998145916380828,0.93041392416798,0.00018540836191712246,0.004789781798829164,0.9952102182011708
0.210000,0.9993858348011495,0.9304023361453602,0.0006141651988504682,0.016885190381731096,0.9831148096182689
0.220000,0.9982791786409567,0.9303849541114304,0.001720821359043293,0.046978566935991097,0.9530214330640089
0.230000,0.9962338926485584,0.9303154259757115,0.00376610735144155,0.10164981373070782,0.8983501862692922
0.240000,0.9932615648465746,0.9301763697042736,0.006738435153425419,0.1779960327059848,0.8220039672940151
0.250000,0.9892810790766664,0.9299388152405673,0.010718920923333642,0.27224345638395664,0.7277565436160434
0.260000,0.9841012329656067,0.9295274404375637,0.01589876703439325,0.37636073346557647,0.6236392665344236
0.270000,0.9785042180402336,0.9288669231482339,0.021495781959766386,0.4856548454206783,0.5143451545793217
0.280000,0.9727971168999722,0.9280789376100862,0.02720288310002781,0.5846920508974793,0.41530794910252067
0.290000,0.9669741355335125,0.9269201353481042,0.03302586446648744,0.6771977357395133,0.3228022642604867
0.300000,0.9616436451283953,0.9254890145545565,0.03835635487160471,0.7536890996177851,0.2463109003822149
0.310000,0.956504357096505,0.9239362195235005,0.04349564290349495,0.8126179302336833,0.18738206976631672
0.320000,0.9517011217205896,0.9215143227959581,0.0482988782794104,0.8576612317964101,0.14233876820358993
0.330000,0.947100676740521,0.9188548716047094,0.052899323259479006,0.8880448981566598,0.11195510184334027
0.340000,0.9428189023824974,0.9159636599610642,0.05718109761750255,0.9108810295611786,0.08911897043882143
0.350000,0.9384618058774451,0.9125857513673866,0.06153819412255493,0.925250374957666,0.07474962504233393
0.360000,0.9336759525354593,0.9086052655974785,0.06632404746454065,0.9352169916299773,0.06478300837002274
0.370000,0.928542458514879,0.9040395846852693,0.07145754148512098,0.9412646959214283,0.058735304078571776
0.380000,0.9233452303698897,0.8993348475016223,0.07665476963011032,0.9448933184962988,0.055106681503701196
0.390000,0.917331046630203,0.8936740984518402,0.08266895336979697,0.947457545115874,0.05254245488412598
0.400000,0.9107722258273848,0.8873760081579679,0.08922777417261518,0.9493928104891384,0.050607189510861676
0.410000,0.9031067488643738,0.8799886437378326,0.09689325113562622,0.9505055880787653,0.0494944119212347
0.420000,0.8948792528043015,0.8719871141188468,0.10512074719569853,0.9514732207653974,0.048526779234602545
0.430000,0.8852090479280615,0.8626587559098915,0.11479095207193844,0.9524408534520296,0.04755914654797039
